Timestamp,Flow_Rate_LPM,Avg_Pressure_PSI,Occupancy_Status
2026-01-01,15.1,50.2,Class_Hours
2026-01-02,15.0,50.7,Class_Hours
2026-01-03,14.8,49.2,After_Hours
2026-01-04,15.5,49.6,After_Hours
2026-01-05,15.4,50.1,Class_Hours
2026-01-06,14.4,50.5,Class_Hours
2026-01-07,14.6,49.4,Class_Hours
2026-01-08,15.1,49.7,Class_Hours
2026-01-09,15.9,49.7,Class_Hours
2026-01-10,15.7,49.7,After_Hours
2026-01-11,14.6,50.4,After_Hours
2026-01-12,15.4,50.0,Class_Hours
2026-01-13,14.3,50.4,Class_Hours
2026-01-14,14.9,50.0,Class_Hours
2026-01-15,14.4,50.2,Class_Hours
2026-01-16,14.8,49.7,Class_Hours
2026-01-17,15.6,49.9,After_Hours
2026-01-18,15.2,49.3,After_Hours
2026-01-19,14.6,49.4,Class_Hours
2026-01-20,14.9,50.1,Class_Hours
2026-01-21,15.7,49.5,Class_Hours
2026-01-22,14.6,49.1,Class_Hours
2026-01-23,15.1,49.8,Class_Hours
2026-01-24,14.9,50.1,After_Hours
2026-01-25,15.7,49.9,After_Hours
2026-01-26,14.7,50.2,Class_Hours
2026-01-27,14.7,50.6,Class_Hours
2026-01-28,14.3,49.9,Class_Hours
2026-01-29,15.3,50.2,Class_Hours
2026-01-30,14.8,50.3,Class_Hours
2026-01-31,14.1,50.5,After_Hours
2026-02-01,15.4,50.6,After_Hours
2026-02-02,14.2,49.6,Class_Hours
2026-02-03,14.7,50.0,Class_Hours
2026-02-04,15.6,49.3,Class_Hours
2026-02-05,15.3,50.5,Class_Hours
2026-02-06,15.0,49.6,Class_Hours
2026-02-07,14.4,49.0,After_Hours
2026-02-08,15.3,49.3,After_Hours
2026-02-09,14.7,49.7,Class_Hours
2026-02-10,15.7,51.0,Class_Hours
2026-02-11,15.0,49.6,Class_Hours
2026-02-12,14.6,49.6,Class_Hours
2026-02-13,15.3,50.0,Class_Hours
2026-02-14,15.5,50.0,After_Hours
2026-02-15,14.9,50.1,After_Hours
2026-02-16,13.9,49.9,Class_Hours
2026-02-17,15.0,49.9,Class_Hours
2026-02-18,14.1,49.7,Class_Hours
2026-02-19,15.6,49.2,Class_Hours
2026-02-20,15.6,49.9,Class_Hours
2026-02-21,14.4,49.8,After_Hours
2026-02-22,15.9,49.7,After_Hours
2026-02-23,14.9,50.0,Class_Hours
2026-02-24,14.3,49.3,Class_Hours
2026-02-25,15.3,49.6,Class_Hours
2026-02-26,14.7,49.6,Class_Hours
2026-02-27,15.3,49.8,Class_Hours
2026-02-28,14.4,49.9,After_Hours
