Timestamp,Flow_Rate_LPM,Avg_Pressure_PSI,Occupancy_Status
2026-01-01,1.6,46.0,After_Hours
2026-01-02,1.6,44.6,After_Hours
2026-01-03,1.6,46.9,After_Hours
2026-01-04,1.0,46.2,After_Hours
2026-01-05,0.7,44.5,After_Hours
2026-01-06,15.3,49.5,Class_Hours
2026-01-07,14.9,50.0,Class_Hours
2026-01-08,14.9,49.5,Class_Hours
2026-01-09,14.8,50.0,Class_Hours
2026-01-10,4.9,49.6,After_Hours
2026-01-11,5.0,49.1,After_Hours
2026-01-12,15.1,49.8,Class_Hours
2026-01-13,14.4,49.4,Class_Hours
2026-01-14,15.3,49.5,Class_Hours
2026-01-15,14.3,50.2,Class_Hours
2026-01-16,14.3,50.1,Class_Hours
2026-01-17,5.9,47.9,After_Hours
2026-01-18,7.0,48.5,After_Hours
2026-01-19,14.3,49.5,Class_Hours
2026-01-20,15.3,50.1,Class_Hours
2026-01-21,14.8,49.8,Class_Hours
2026-01-22,14.4,49.8,Class_Hours
2026-01-23,14.6,49.7,Class_Hours
2026-01-24,6.5,48.7,After_Hours
2026-01-25,6.6,49.3,After_Hours
2026-01-26,15.9,50.5,Class_Hours
2026-01-27,14.5,50.5,Class_Hours
2026-01-28,14.1,50.5,Class_Hours
2026-01-29,14.1,50.6,Class_Hours
2026-01-30,15.0,49.3,Class_Hours
2026-01-31,5.7,48.1,After_Hours
2026-02-01,5.6,49.1,After_Hours
2026-02-02,14.8,50.8,Class_Hours
2026-02-03,15.4,50.2,Class_Hours
2026-02-04,14.9,49.9,Class_Hours
2026-02-05,14.8,50.3,Class_Hours
2026-02-06,15.5,49.1,Class_Hours
2026-02-07,5.1,47.1,After_Hours
2026-02-08,5.7,48.1,After_Hours
2026-02-09,15.2,49.5,Class_Hours
2026-02-10,14.4,50.2,Class_Hours
2026-02-11,15.5,50.0,Class_Hours
2026-02-12,14.4,49.5,Class_Hours
2026-02-13,14.0,50.5,Class_Hours
2026-02-14,6.5,47.8,After_Hours
2026-02-15,6.7,48.9,After_Hours
2026-02-16,14.4,50.2,Class_Hours
2026-02-17,15.0,49.5,Class_Hours
2026-02-18,15.5,49.8,Class_Hours
2026-02-19,14.1,50.8,Class_Hours
2026-02-20,15.2,50.0,Class_Hours
2026-02-21,6.7,48.5,After_Hours
2026-02-22,6.8,48.4,After_Hours
2026-02-23,14.0,50.6,Class_Hours
2026-02-24,14.4,51.4,Class_Hours
2026-02-25,14.2,50.0,Class_Hours
2026-02-26,15.7,49.7,Class_Hours
2026-02-27,15.4,50.5,Class_Hours
2026-02-28,4.3,47.8,After_Hours
2026-03-01,4.4,49.6,After_Hours
2026-03-02,15.2,50.0,Class_Hours
2026-03-03,14.0,50.5,Class_Hours
2026-03-04,14.1,50.0,Class_Hours
2026-03-05,15.1,50.8,Class_Hours
2026-03-06,15.7,49.8,Class_Hours
