Timestamp,Flow_Rate_LPM,Avg_Pressure_PSI,Occupancy_Status
2026-06-10 00:00:00,14.0,50.6,After_Hours
2026-06-10 01:00:00,14.2,50.5,After_Hours
2026-06-10 02:00:00,14.4,50.3,After_Hours
2026-06-10 03:00:00,14.6,50.6,After_Hours
2026-06-10 04:00:00,14.0,50.5,After_Hours
2026-06-10 05:00:00,14.2,50.3,After_Hours
2026-06-10 06:00:00,14.4,50.6,After_Hours
2026-06-10 07:00:00,14.5,50.4,Class_Hours
2026-06-10 08:00:00,14.8,50.2,Class_Hours
2026-06-10 09:00:00,15.0,50.1,Class_Hours
2026-06-10 10:00:00,15.2,50.0,Class_Hours
2026-06-10 11:00:00,15.4,49.9,Class_Hours
2026-06-10 12:00:00,15.4,49.9,Class_Hours
2026-06-10 13:00:00,15.4,49.9,Class_Hours
2026-06-10 14:00:00,15.2,50.0,Class_Hours
2026-06-10 15:00:00,15.0,50.1,Class_Hours
2026-06-10 16:00:00,23.4,46.1,Class_Hours
2026-06-10 17:00:00,23.1,46.3,Class_Hours
2026-06-10 18:00:00,23.0,46.5,After_Hours
2026-06-10 19:00:00,23.2,46.4,After_Hours
2026-06-10 20:00:00,22.6,46.2,After_Hours
2026-06-10 21:00:00,22.8,46.5,After_Hours
2026-06-10 22:00:00,23.0,46.4,After_Hours
2026-06-10 23:00:00,14.6,50.3,After_Hours
